SYMBOL,ENTRY_TYPE,ENTRY_PRICE,SL,TP,STRATEGY
NSE:NIFTYBANK-INDEX,SELL,41089.5,41244.8,40623.7,RED
NSE:NIFTYBANK-INDEX,SELL,41087.25,41244.8,40623.7,RED
NSE:NIFTYBANK-INDEX,SELL,41067.05,41244.8,40623.7,RED
